volume_author,review_author,aRatio,trunc_volumetitle,volume_title,trunc_revtitle,review_title,tRatio,original_tRaio,volume_year,review_year,docid,rownum
"hughes, rupert","hughes, rupert.",97,"love song, by rupert hughes.","love song, by rupert hughes.",love song.,love song.,88,90,1934.0,1934,mdp.39015022466539,5476
"rutzebeck, hjalmar","rutzebeck, hjalmar.",97,"my alaskan idyll,","my alaskan idyll, by hjalmar rutzebeck ....",my alaskan idvll.,my alaskan idvll.,88,88,1922.0,1922,nyp.33433076052376,2337
"brinkley, william","brinkley, william w.",92,"quicksand,","quicksand, a novel.",quicksand.,quicksand.,88,90,1948.0,1948,mdp.39015006610268,724
"levin, meyer","levin, meyer.",96,old bunch [by] mey,the old bunch [by] meyer levin.,old bunch.,the old bunch.,88,90,1937.0,1937,uc1.$b610327,3685
"du maurier, daphne","du maurier, daphne.",97,geralda port,geralda portrait.,gerald; a portrai,gerald; a portrait.,88,88,1934.0,1935,mdp.39015011882589,1288
"lutes, della t. (della thompson)","lutes, mrs della (thompson).",77,"millbrook, by d","millbrook, by della t. lutes; decorations by edward shenton.",millbrook.,millbrook.,88,90,1938.0,1938,uc1.$b301205,5393
"ostenso, martha","ostenso, martha.",97,dark dawn by,the dark dawn by martha ostenso.,dark dawn.,dark dawn.,88,90,1926.0,1926,mdp.39015059406051,4244
"webster, henry kitchell","webster, henry kitchell.",98,beginners; a nov,the beginners; a novel.,beginners.,beginners.,88,90,1927.0,1927,umn.31951002119305h,2985
"raymond, ernest","raymond, ernest.",97,a fami,"a family that was, by ernest raymond.",family that was.,family that was.,88,88,1929.0,1930,uc1.$b244575,5047
"lockridge, richard","lockridqe, richard.",92,a matter of tast,a matter of taste.,matter of taste.,matter of taste.,88,88,1949.0,1949,uc1.b3435115,1965
"mccarthy, justin h , (justin huntly)","mccarthy, justin huntly.",77,in spacious ,in spacious times,in spacious 3 tim,in spacious 3 times.,88,88,1916.0,1916,uc2.ark+=13960=t9q23sq7x,1008
"davenport, gwen","davenport, mrs gwen (leys).",71,"belvedere, a novel b","belvedere, a novel by gwen davenport ...",belvedere.,belvedere.,88,90,1947.0,1947,uc1.$b87218,3926
"raine, william macleod","raine, william macleod.",98,"texas man, by ","texas man, by william macleod raine.",texas man.,texas man.,88,90,1928.0,1928,uc1.$b244031,2741
"price, willard","price, willard de mille.",74,"barbarian,","barbarian, a novel by willard price.",barbarian.,barbarian.,88,90,1941.0,1941,uc1.$b104158,3305
"brinig, myron","br1nig, myron.",89,you and i by myron brin,you and i by myron brinig.,you and i.,you and i.,88,90,1945.0,1945,uc1.$b86172,4322
"bayliss, marguerite f. (marguerite farlee)","bayliss, marguerite farlee.",75,bolinvars.,the bolinvars.,bollnvars.,the bollnvars.,88,90,1944.0,1944,uc1.b3710977,650
"marshall, archibald","marshall, archibald1.",95,upsidonia.,upsidonia.,upsidonla.,upsidonla. m1.50 (30 dodd 17-26182,88,90,1915.0,1917,mdp.39015048903515,2207
"angellotti, marion polk","angellotti, marion polk.",98,firefly of france,the firefly of france by marion polk angellotti ... ; illustrated by grant t. reynard.,fireﬂy of france.,fireﬂy of france.,88,88,1918.0,1918,nyp.33433082485958,1168
"bartley, nalbro isadorah, mrs","bartley, nalbro isadorah (mrs hor- ace lerch).",75,"godfather, by nalbr","the godfather, by nalbro bartley.",godfather.,godfather.,88,90,1931.0,1930,mdp.39015063915634,4268
"huxley, aldous","huxley, aldous leonard.",76,antic hay and,antic hay and the gioconda smile.,antic hay.,antic hay.,88,90,1957.0,1923,uc1.32106001990453,2738
"thompson, mary wolfe","thompson, mrs mary (wolfe).",85,moccasins on the trai,"moccasins on the trail, by wolfe thompson ... illustrated by richard h. rodgers.",moccasins on the trail; 11.,moccasins on the trail; 11.,88,85,1935.0,1935,mdp.39015071201175,4249
"greene, graham",greene. graham.,90,third man ,the third man graham greene.,third man.,third man.,88,90,1950.0,1950,mdp.39015000619257,4533
"hall, james norman","hall, james norman.",97,far lands ,the far lands james norman hall,far lands.,far lands.,88,90,1950.0,1950,uc1.b3688221,5832
"schultz, james willard","schultz, james willard.",98,"sun woman; a novel, by james w","sun woman; a novel, by james willard schultz ...",sun woman.,sun woman.,88,90,1926.0,1926,uc1.$b312471,4218
"herbert, a. p. sir, (alan patrick)","herbert, alan patrick.",75,old flame by a,the old flame by a. p. herbert.,old flame.,old flame.,88,90,1925.0,1925,uc1.$b243151,0
"hutchinson, vere","hutchinson, vere.",97,"naked man, ","the naked man, by vere hutchinson ...",naked man.,naked man.,88,90,1925.0,1925,uc1.$b300962,2599
"henriot, emile","henriot, emile.",97,"aricie brun, tra","aricie brun, translated by henry longan stuart.",aricie brun; tr.,aricie brun; tr.,88,88,1926.0,1926,uc1.$b318438,3607
"taylor, phoebe atwood","taylor, phoebe atwood.",98,annulet of gilt a,the annulet of gilt an asey mayo mystery by phoebe atwood taylor.,annulet of kilt.,the annulet of kilt.,88,88,1938.0,1938,pst.000030282704,2709
"dos passos, john","dos passos, john.",97,big money joh,the big money john dos passos.,big money.,big money.,88,90,1936.0,1936,mdp.39015005866663,115
"davis, clyde brion","davis, clyde brion.",97,playtime is over.,playtime is over.,playtime la over.,playtime la over.,88,88,1949.0,1949,uc1.$b87240,5097
"day, clarence","day, clarence shepard.",74,"after all, by cla","after all, by clarence day.",after all.,after all.,88,90,1935.0,1936,uc1.b4101324,4329
"blasco ibáñez, vicente","blasco ibanez, vicente.",89,"mob, ""la horda"",","the mob, ""la horda"",","mob ""la horda""; ","the mob ""la horda""; from the spanish by mariano joaquin lorente.",88,88,1927.0,1927,mdp.39015005597482,5225
"buck, charles neville","buck, charles neville.",98,iron will by char,iron will by charles neville buck.,iron will.,iron will.,88,90,1927.0,1927,uc1.$b299707,1764
"balint, emery","balint, imre.",77,alpha; translate,alpha; translated from the hungarian by louis rittenberg.,alpha; tr.,alpha; tr.,88,90,1927.0,1927,uc1.$b164224,2466
"reid, leslie","reid, leslie.",96,"saltacres, by les","saltacres, by leslie reid.",saltacres.,saltacres.,88,90,1927.0,1927,mdp.39015031932927,2085
"swinnerton, frank","swinnerton, frank arthur.",81,elizabeth; a story in six pa,"elizabeth; a story in six parts, by frank swinnerton.",elizabeth.,elizabeth.,88,90,1934.0,1934,mdp.39015030714201,3769
"hoffman, marie e","hoffman, marie e.",97,lindy loyd,lindy loyd,lindy loyg,lindy loyg; a tale oi the mountains.,88,90,1920.0,1920,uc2.ark+=13960=t7tm73q91,1438
"majdalany, f. (fred)","majdalany, frederick.",73,"monastery,","the monastery, by f. majdalany.",monastery.,the monastery.,88,90,1946.0,1946,uc1.$b744989,2406
"thurston, mabel nelson","thurston, mabel nelson.",98,sarah ann ,sarah ann by mabel nelson thurston ; with illustrations by e.c. caswell.,sarah ann.,sarah ann.,88,90,1917.0,1917,nyp.33433076086044,2149
"oyen, henry","oven, henry.",87,plunderer by henry oy,the plunderer by henry oyen ...,plunderer.,plunderer.,88,90,1919.0,1920,nyp.33433076043748,972
"stevens, james","stevens, james.",97,brawny-man [by],brawny-man [by] james stevens.,brawnyman.,brawnyman.,88,90,1926.0,1926,uc1.$b105700,4029
"rideout, henry milner","rideout, henry milner.",98,"tao tales,","tao tales, by henry milner rideout.",tao tales.,tao tales.,88,90,1927.0,1927,uc1.b4088959,4605
"benson, e. f. (edward frederick)","benson, edward frederic.",82,inheritor e.f. ben,the inheritor e.f. benson.,inheritor.,inheritor.,88,90,1930.0,1930,mdp.39015041310429,5901
"hemingway, ernest",hemingway. ernest.,91,a farewell to arms.,a farewell to arms.,farewell to arms.,farewell to arms.,88,88,1929.0,1929,uc1.32106010568639,5117
"gregory, sacha","gregory, sacha, pseud.",78,yellowleaf,yellowleaf,tellowleaf,tellowleaf. »*1.50 (2c) llppincott 19-15564,88,90,1919.0,1919,uc2.ark+=13960=t5q816p1r,264
"cohen, octavus roy","cohen, octavus roy.",97,sunclouds frontispi,sunclouds frontispiece by j.j. gould.,sunclouds.,sunclouds.,88,90,1924.0,1924,uc1.b3688084,3235
"ferber, edna","ferber, edna.",96,"show boat, by edna ferber.","show boat, by edna ferber.",show boat.,show boat.,88,90,1926.0,1926,mdp.39015054194546,212
"kroll, harry harrison",kroll. harry harrison.,93,mountainy singer,"the mountainy singer, by harry harrison kroll.",mountalny singer.,mountalny singer.,88,88,1928.0,1928,mdp.39015000627573,997
"paull, grace","paull, grace.",96,pancakes for breakfast by g,pancakes for breakfast by grace paull.,pancakes for breakfast [11.,pancakes for breakfast [11.,88,85,1946.0,1946,umn.31951000891770l,3603
"cooper, lettice ulpha, 1897-","cooper, lettice ulpha.",84,"new house, by le","the new house, by lettice cooper.",new house.,the new house.,88,90,1936.0,1936,mdp.39015058501985,1839
"fletcher, j. s. (joseph smith)","fletcher, joseph smith.",83,green ink and other stories.,green ink and other stories.,green ink.,green ink.,88,90,1926.0,1926,mdp.39015003675942,3052
"field, louise maunsell",field. louise maunsell.,93,a woman of fee,a woman of feeling by louise maunsell field ...,woman of feeling.,woman of feeling.,88,88,1916.0,1916,nyp.33433074808555,1104
"flandrau, grace",flandrau. grace hodgson.,72,"entranced,","entranced, by grace flandrau.",entranced.,entranced.,88,90,1924.0,1924,mdp.39015063915394,2634
"camp, wadsworth","camp, charles wadsworth.",77,gray mask ,the gray mask by wadsworth camp ... ; frontispiece by walter de maris.,gray mask.,gray mask.,88,90,1920.0,1920,nyp.33433074935358,100
"mulford, clarence edward","mulford, clarence edward.",98,"mesquite jenkins, tumbleweed.","mesquite jenkins, tumbleweed.",mesqulte jenkins.,mesqulte jenkins.,88,88,1932.0,1929,uc1.$b244128,4220
"fletcher, j. s. (joseph smith)","fletcher, joseph smith.",83,ebony box; being the first o,the ebony box; being the first of the further adventures of ronald camberwell [by] j. s. fletcher.,ebony box.,ebony box.,88,90,1934.0,1934,mdp.39015063918141,2635
"purcell, patrick a","purcell, patrick.",91,"quiet man,","the quiet man, by patrick purcell.",quiet man.,quiet man.,88,90,1946.0,1946,uc1.$b56187,4195
"fleuron, svend","fleuron, svend.",97,wild horses of iceland by s,the wild horses of iceland by svend fleuron ; translated from the danish by e. gee nash.,wild horses of iceland; tr.,wild horses of iceland; tr.,88,85,1933.0,1933,uc1.$b70107,1486
"mauriac, françois",mauriac. francois.,86,"destinies,","destinies,",destinies;,destinies; tr.,88,90,1929.0,1929,mdp.39015033388151,1149
"chambliss, w. c. (william c.)","chambliss, william campbell.",74,boomerang ,boomerang [by] william c. chambliss.,boomerang.,boomerang.,88,90,1944.0,1944,uc1.$b323556,1762
"coolidge, dane","coolidqe, dane.",90,gun-smoke,gun-smoke by dane coolidge.,gun-smoke.,gun-smoke.,88,90,1928.0,1928,uc1.$b236097,4754
"gould, elizabeth lincoln","gould, elizabeth lincoln.",98,cap'n gid by,cap'n gid by elizabeth lincoln gould ; illustrated by ralph l. boyer.,cap'n gid.,cap'n gid.,88,90,1914.0,1916,nyp.33433076091168,1030
"weiskopf, f. c. (franz carl)","weiskopf, franz carl.",82,"children of their time, a n","children of their time, a novel.",children of their time [tr.,children of their time [tr.,88,85,1948.0,1948,mdp.39015030114725,4129
"frankau, gilbert","frankau, gilbert.",97,masterson; a st,"masterson; a story of an english gentleman, by gilbert frankau.",masterson.,masterson.,88,90,1926.0,1926,uc1.$b794773,61
"fish, horace","fish, horace.",96,great way;,the great way;,great way.,great way.,88,90,1921.0,1921,uc2.ark+=13960=t1gh9cn8x,2223
"feiner, ruth","feiner, ruth.",96,cat acros,cat across the path by ruth feiner ; translated from the german by norman alexander.,cat across the path; tr.,cat across the path; tr.,88,88,1935.0,1935,uc1.$b74564,3032
"stone, caroline r","stone, caroline r.",97,inga of porcupine mine by caro,inga of porcupine mine by caroline r. stone ; illustrated by ellen simon.,inga of porcupine mine; 11.,inga of porcupine mine; 11.,88,85,1942.0,1942,mdp.39076002211048,1109
"freitag, george h","freitag, george h.",97,"lost land,","the lost land, a novel by george freitag.",lost land.,lost land.,88,90,1947.0,1947,uc1.b3346782,5333
"cozzens, james gould","cozzens, james gould.",98,confusion a nov,confusion a novel by james gould cozzens.,confusion.,confusion.,88,90,1924.0,1924,uc1.b3688409,475
"fenwick, elizabeth","fenwick, elizabeth.",97,"long wing, a novel","the long wing, a novel by elizabeth fenwick.",long wing.,long wing.,88,90,1947.0,1947,uc1.$b104353,3531
"canby, henry seidel","canby, henry seidel.",97,our house;,our house; by henry seidel canby.,our house.,our house.,88,90,1919.0,1919,nyp.33433074935234,1567
"small, sidney herschel","small, sidney herschel.",98,fourscore by si,fourscore by sidney herschel small ...,fourscore.,fourscore.,88,90,1924.0,1924,uc1.$b312535,3139
"freuchen, peter","freuchen, peter.",97,"ivalu, the","ivalu, the eskimo wife, by peter freuchen ... translation by janos jusztis and edward price ehrich.","ivalu, the eskimo wife: tr.","ivalu, the eskimo wife: tr.",88,85,1935.0,1935,mdp.39015033366603,1893
"fielding, archibald e","fielding, archibald e.",98,scarecrow [by] a. ,scarecrow [by] a. e. fielding.,scarecrow.,scarecrow.,88,90,1937.0,1937,mdp.39015063746435,1747
"chambers, robert w. (robert william)","chambers, robert william.",79,"in secret, by ro","in secret, by robert w. chambers.",in secret.,in secret.,88,90,1919.0,1919,njp.32101068165883,2061
"undset, sigrid","undset, sigrid.",97,cross; translated from the nor,the cross; translated from the norwegian of sigrid undset by charles archer.,cross; tr.,the cross; tr.,88,90,1927.0,1927,mdp.39015002256983,696
"zweig, arnold","zweig, arnold.",96,"case of sergeant grischa,","the case of sergeant grischa, by arnold zweig, translated from german by eric sutton.",case of sergeant grlscha; tr.,case of sergeant grlscha; tr.,88,83,1928.0,1929,miun.atn9742.0001.001,859
"montross, lynn","montross, lynn.",97,half gods by ,half gods by lynn montross ...,half gods.,half gods.,88,90,1924.0,1924,uc1.$b103189,2083
"chase, mary ellen","chase, mary ellen.",97,"windswept,","windswept, by mary ellen chase.",windswept.,windswept.,88,90,1941.0,1941,mdp.39015030727997,3365
"nels, jacques","nels, jacques.",96,a man of meanstr.,a man of meanstr. by elaine p. halperin.,man of means; tr.,man of means; tr.,88,88,1948.0,1948,wu.89104426499,2217
"sabin, edwin l. (edwin legrand)","sabin, edwin legrand.",77,city of the s,"the city of the sun, by edwin l. sabin ...",city of the sun..,city of the sun..,88,88,1924.0,1924,uc1.$b312438,320
"easton, robert olney","easton, robert olney.",98,happy man ,the happy man [by] robert easton.,happy man.,happy man.,88,90,1943.0,1943,uc1.$b56519,1855
"warner, rex","warner, rex.",96,professor a novel rex warne,the professor a novel rex warner.,professor.,the professor.,88,90,1946.0,1939,uc1.$b245169,1959
"crosbie, mary","crosbie, mary.",96,rekindled fires ,rekindled fires by mary crosbie.,rekindled flres.,rekindled flres.,88,88,1929.0,1929,osu.32435001935402,2878
"easton, robert olney","easton, robert olney.",98,happy man ,the happy man a novel of california ranch life robert easton ; foreword by gerald w. haslam ; introduction by jack schaefer.,happy man.,happy man.,88,90,1993.0,1943,mdp.39015032906169,1855
"swinnerton, frank","swinnerton, frank arthur.",81,two wives a tale in four par,the two wives a tale in four parts frank swinnerton.,two wives.,the two wives.,88,90,1940.0,1940,mdp.39015031304457,455
"caldwell, erskine","caldwell, erskine.",97,"southways, stories b","southways, stories by erskine caldwell.",southways.,southways.,88,90,1938.0,1938,mdp.39015031222949,4187
"millen, gilmore","millen, gilmore.",97,"sweet man,","sweet man, by gilmore millen.",sweet man.,sweet man.,88,90,1930.0,1930,mdp.39015012361948,5441
"chandler, raymond","chandler, raymond.",97,"big sleep ; &, farewe","the big sleep ; &, farewell, my lovely raymond chandler.",big sleep.,the big sleep.,88,90,1939.0,1939,mdp.39015055451705,5398
"mccutcheon, george barr","mccutcheon, george barr.",98,"merivales,","the merivales, by george barr mccutcheon.",merivales.,the merivales.,88,90,1928.0,1929,mdp.39015063941499,4664
"clancy, louise marks breitenbach, mrs",clancy. mrs louise breitenbach.,74,christine of the young; a nov,"christine of the young; a novel, by louise breitenbach clancy ...",christine of the young heart.,christine of the young heart.,88,83,1920.0,1920,nyp.33433074812359,563
"jackson, charles tenney",jackson. charles tenny.,91,captain sazarac by charles ten,captain sazarac by charles tenney jackson ...,captain saiarac.,captain saiarac.,88,88,1922.0,1922,nyp.33433076087745,2071
"coolidge, dane","coolidge, dane.",97,war paint,war paint by dane coolidge.,war paint.,war paint.,88,90,1929.0,1929,uc1.$b236105,3674
